Breed,Drive,Activities
Airedale Terrier,"Prey, Hunt","Barn Hunt, Agility, CaniCross"
Akita,"Guard, Protection",CaniCross
Alaskan Malamute,Draft,"Sledding/Jorring, Canicross, Weight Pull"
American Bulldog ,Game,"CaniCross, Weight Pull, Obedience,"
American Bully (Standard),Game,"Weight Pull, Obedience, CaniCross"
American Eskimo Dog (Miniature),Companion,"Agility, Obedience, Walking Partner"
American Eskimo Dog (Standard),"""""",""""""
Am. Staffordshire Terrier,"Prey, Game","Carting, Weight Pull, Obedience, Therapy Work"
American Pit Bull Terrier,"Prey, GAme",""""""
Australian Cattle Dog (Heeler),Herding,"Herding, Agility, Obedience, Canicross"
Australian Kelpie,Herding,"Herding, Agility, CaniCross, Dock Jumping, Rally"
Australian Shepherd,Herding,"Herding, Agility, Obedience, Canicross, Flyball, Frisbee"
Austrialian Terrier,Prey,"Barn Hunt, Nose Work"
Barbet,Hunt,"Water Retrieval, Dock Jumping, Obedience, Agility"
Basenji,"Prey, Hunt","Lure Coursing, Straight Racing, Open Field Coursing"
Basset Hound,"Scent, Hunt",Nosework
Beagle,"Scent, Hunt","Nosework, (Potentially) Obedience, Therapy Work"
Beauceron,Herding,"Herding, Protection, Flyball, Tracking, Obedience, Agility"
Bedlington Terrier,"Prey, Game","Barn Hunt, Canicross"
Belgian Malinois,"Herding, Protection","Herding, Agility, Obedience, Canicross, Flyball, Frisbee"
Belgian Tervuren,"Herding, Protection","Herding, Agility, Obedience, Flyball, -- fuck it, everything."
Bernese Mountain Dog,Draft,"Carting, Weight Pull, Hiking"
Bichon Frise,Companion,"Agility, Obedience, Therapy"
Black and Tan Coonhound,Scent,"Nosework, Tracking"
Bloodhound,Scent,"Nosework, Tracking"
Bluetick Coonhound,Scent,"Nosework, Tracking, Obedience, Rally"
Boerboel,Protection,Protection
Border Collie,Herding,"It's smarter than you, so every activity ever."
Border Terrier,Prey,"Earth Dog, Barn Hunts, Agility"
Boston Terrier,Companion,Agility
Bouvier des Flandres,"Herding, Draft","Carting, Agility, CaniCross, Protection, Tracking"
Boxer,Prey,"Agility, Obedience, CaniCross,"
Boykin Spaniel,"Hunting, Retrieving","Dock Diving, Retrieving, Agility, Obedience, Tracking"
Bracco Italiano ,Hunting,"Hunting, CaniCross"
Briard,Herding,"Agility, Obedience, Flyball, Protection, Herding"
Brittany,Hunting,"Hunting, CaniCross"
Bull Terrier (Standard),Prey,"CaniCross, Weight Pull"
Bull Terrier (Miniature),Prey,""""""
Bulldog,Game,.......... Walk?
Bullmastiff,Protection,"Tracking, Carting, Obedience"
Cairn Terrier,Prey,"Barn Hunt, Nose Work"
Cane Corso,"Game, Draft","Weight Pull, Cart Pulling"
Cardigan Welsh Corgi,Herding,"Herding, Agility, Obedience"
Catahoula Leopard Dog,"Game, Herding","Hunting, Canicross,"
Caucasian Shepherd (Ovcharka),Guard,Protection
Cavalier King Charles Spaniel,Companion,"Therapy Work, Agility, Obedience, CaniCross"
Chesapeake Bay Retriever,"Hunting, Retrieving","Retrieving, Dock Jumping, Agility, Canicross, Tracking"
Chihuahua (Long hair),Companion,"Walking, Agility"
Chihuahua (Smooth),"""""",""""""
Chinese Crested,Companion,"Agility, Walking"
Chinese Shar-Pei,Protection,CaniCross
